event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2004gs,53350.5,17.1,,,,,,"2004IAUC.8453....3F,Latest Supernovae"
SN2004gs,53352.33138,17.416,0.008,,B,,,2010AJ....139..519C
SN2004gs,53352.33138,17.258,0.093,,V,,,2010AJ....139..519C
SN2004gs,53352.33138,17.291,0.010,,g,,,2010AJ....139..519C
SN2004gs,53352.33138,17.397,0.020,,i,,,2010AJ....139..519C
SN2004gs,53352.33138,17.204,0.009,,r,,,2010AJ....139..519C
SN2004gs,53352.33138,18.183,0.043,,u,,,2010AJ....139..519C
SN2004gs,53353.30048,17.346,0.007,,B,,,2010AJ....139..519C
SN2004gs,53353.30048,17.241,0.008,,V,,,2010AJ....139..519C
SN2004gs,53353.30048,17.201,0.006,,g,,,2010AJ....139..519C
SN2004gs,53353.30048,17.378,0.009,,i,,,2010AJ....139..519C
SN2004gs,53353.30048,17.120,0.007,,r,,,2010AJ....139..519C
SN2004gs,53353.30048,18.086,0.014,,u,,,2010AJ....139..519C
SN2004gs,53353.45,17.34600,0.02100,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53353.45,16.93000,0.01600,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53353.45,16.93000,0.01600,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53353.45,17.27000,0.01700,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53353.58,17.31900,0.01000,,B,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53353.58,17.13900,0.04200,,I,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53353.58,17.02000,0.02100,,R,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53353.58,17.25200,0.01100,,V,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53354.40,17.31200,0.02800,,B,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53354.40,16.99000,0.01600,,R,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53354.40,17.20900,0.01700,,V,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53354.42,17.27100,0.02100,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53354.42,16.89100,0.02300,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53354.42,16.89100,0.02300,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53354.42,17.19900,0.02000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53355.39,17.24400,0.02400,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53355.39,16.89900,0.01200,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53355.39,16.89900,0.01200,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53355.39,17.19700,0.01400,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53356.32257,17.268,0.007,,B,,,2010AJ....139..519C
SN2004gs,53356.32257,17.099,0.009,,V,,,2010AJ....139..519C
SN2004gs,53356.32257,17.112,0.007,,g,,,2010AJ....139..519C
SN2004gs,53356.32257,17.402,0.010,,i,,,2010AJ....139..519C
SN2004gs,53356.32257,17.010,0.007,,r,,,2010AJ....139..519C
SN2004gs,53356.32257,18.135,0.016,,u,,,2010AJ....139..519C
SN2004gs,53356.40,17.29300,0.02300,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53356.40,16.83800,0.01400,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53356.40,16.83800,0.01400,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53356.40,17.15600,0.02200,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53357.26423,17.305,0.008,,B,,,2010AJ....139..519C
SN2004gs,53357.26423,17.077,0.009,,V,,,2010AJ....139..519C
SN2004gs,53357.26423,17.128,0.007,,g,,,2010AJ....139..519C
SN2004gs,53357.26423,17.414,0.010,,i,,,2010AJ....139..519C
SN2004gs,53357.26423,17.002,0.007,,r,,,2010AJ....139..519C
SN2004gs,53357.26423,18.233,0.014,,u,,,2010AJ....139..519C
SN2004gs,53357.39,17.29300,0.02000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53357.39,16.88700,0.01400,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53357.39,16.88700,0.01400,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53357.39,17.15000,0.02800,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2004gs,53358.44,17.33600,0.02100,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
